1,a_tvmusmov_to_listen_to_music
2,a_user_learn_new_things
3,a_entert_to_play_videogames
4,a_entert_to_play_chess
5,a_athome_to_drink_a_coffee/tea
6,a_individual_to_read_a_comic_book
7,a_friends_to_talk_to_my_friends
8,a_friends_to_have_a_short_talk_with_a_friend
9,a_sport_to_exercise
10,a_outdoor_to_walk_long_distances
11,a_work_to_work_from_home
12,a_tvmusmov_to_watch_Netflix
13,a_going_to_go_to_the_beach
14,a_individual_to_stay_alone
15,a_work_to_focus_on_delayed_tasks
16,a_going_to_travel_on_a_train
17,a_outdoor_to_water_the_plants
18,a_tvmusmov_to_watch_a_science_fiction_movie
19,a_work_to_work
20,a_outdoor_to_walk_in_the_nature
21,a_entert_to_play_the_guitar
22,a_going_to_go_for_a_drink
23,a_athome_to_clean_the_house
24,a_work_to_make_a_plan_for_my_tasks
