1,a_user_to_listen_to_new_music
2,a_user_to_listen_to_jazz/rock_music
3,a_entert_to_play_videogames
4,a_user_to_daydream
5,a_work_to_read/reply_to_my_emails
6,a_user_to_watch_a_(non-nature)_documentary
7,a_tvmusmov_to_listen_to_light_music
8,a_user_to_eat_a_warm_lunch
9,a_user_to_listen_to_electronic_music
10,a_user_to_drink_tea
11,a_user_to_cook_breakfast_muffins
12,a_user_to_drink_a_coffee
13,a_sport_to_go_to_the_gym
14,a_tvmusmov_to_watch_a_movie_at_home
15,a_user_to_watch_series
16,a_user_to_make_a_workplan
17,a_friends_to_talk_to_my_friends
18,a_work_to_study
19,a_user_to_look_out_the_window
20,a_user_to_do_chess_puzzles
21,a_work_to_focus_on_delayed_tasks
22,a_work_to_work_late
23,a_user_to_write
24,a_work_to_work
25,a_user_to_read_books
26,a_user_to_watch_the_news_with_coffee
27,a_athome_to_clean_the_house
28,a_user_to_bask_in_the_sun
29,a_individual_to_wake_up_late
30,a_tvmusmov_to_listen_to_music
31,a_user_to_do_chores
