1,a_sport_to_go_bouldering
2,a_outdoor_to_walk_in_the_nature
3,a_athome_to_drink_a_coffee/tea
4,a_going_to_go_to_a_restaurant
5,a_work_to_make_a_plan_for_my_tasks
6,a_individual_to_watch_Netflix_alone
7,a_individual_to_stay_alone
8,a_work_to_study
9,a_friends_to_have_non-work-related_appointments
10,a_work_to_work_from_home
11,a_outdoor_to_go_for_a_short_walk
12,a_individual_to_wake_up_late
13,a_work_to_work_on_a_scientific_article
14,a_work_to_work
15,a_work_to_read/reply_to_my_emails
16,a_work_to_work_from_the_office
17,a_outdoor_to_work_in_the_garden
18,a_athome_to_eat_warm_oatmeal
19,a_individual_to_read_a_book
20,a_going_to_go_for_a_drink
21,a_athome_to_try_a_new_recipe
22,a_sport_to_go_cycling
23,a_work_to_focus_on_delayed_tasks
24,a_friends_to_visit_a_friend
25,a_friends_to_spend_time_with_the_family
26,a_work_to_work_late
