1,a_work_to_have_scientific_discussions
2,a_work_to_have_meetings
3,a_outdoor_to_walk_in_the_nature
4,a_outdoor_to_walk_in_the_sun
5,a_sport_to_do_some_yoga
6,a_individual_to_read_a_book
7,a_outdoor_to_go_for_a_short_walk
8,a_individual_to_stay_alone
9,a_individual_to_look_at_some_old_photos
10,a_individual_to_watch_Netflix_alone
11,a_tvmusmov_to_watch_Netflix
12,a_sport_to_have_a_walk
13,a_individual_to_wake_up_late
14,a_athome_to_try_a_new_recipe
15,a_entert_to_paint
16,a_work_to_work_from_home
17,a_friends_to_have_non-work-related_appointments
18,a_work_to_do_administrative_work
19,a_outdoor_to_work_in_the_garden
20,a_sport_to_go_cycling
21,a_work_to_work_on_a_scientific_article
22,a_work_to_work
23,a_outdoor_to_sit_in_the_garden
24,a_friends_to_spend_time_with_the_family
