1,a_entert_to_play_a_board_game
2,a_friends_to_talk_to_my_friends
3,a_outdoor_to_walk_in_the_nature
4,a_sport_to_go_to_the_gym
5,a_sport_to_play_football
6,a_outdoor_to_walk_long_distances
7,a_going_to_go_to_a_restaurant
8,a_work_to_do_administrative_work
9,a_individual_to_watch_Netflix_alone
10,a_outdoor_to_sit_in_the_garden
11,a_tvmusmov_to_watch_tv
12,a_going_to_go_to_the_movies
13,a_athome_to_drink_a_coffee/tea
14,a_sport_to_have_a_walk
15,a_work_to_study
16,a_sport_to_go_cycling
17,a_going_to_go_to_the_beach
18,a_work_to_work
19,a_outdoor_to_go_for_a_short_walk
20,a_friends_to_watch_Netflix_with_the_family
21,a_work_to_listen_to_light_music_while_working
22,a_work_to_work_from_the_office
23,a_work_to_read/reply_to_my_emails
24,a_tvmusmov_to_watch_Netflix
25,a_work_to_focus_on_delayed_tasks
26,a_going_to_go_for_a_drink
